numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 3164,Atterraggio,22:00,22:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-27 17:59:59
W4 3382,Atterraggio,22:00,22:00,CLUJ-NAPOCA,Estero/Italia,Operativo,2026-08-27 17:59:59
FR 9372,Atterraggio,22:05,22:05,BRNO,Estero/Italia,Operativo,2026-08-27 17:59:59
W6 4508,Atterraggio,22:10,22:30,VARNA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 17:59:59
FR 9196,Atterraggio,22:15,22:15,TRAPANI,Estero/Italia,Operativo,2026-08-27 17:59:59
FR 8479,Atterraggio,22:20,22:20,TIRANA,Estero/Italia,OPERATO DA BUZZ,2026-08-27 17:59:59
G9 696,Atterraggio,22:50,22:50,SHARJAH,Estero/Italia,Operativo,2026-08-27 17:59:59
FR 2992,Atterraggio,22:55,22:55,COPENHAGEN,Estero/Italia,Operativo,2026-08-27 17:59:59
EK 2415,Atterraggio,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 17:59:59
FR 3413,Atterraggio,23:25,23:25,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-27 17:59:59
FZ 1572,Atterraggio,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 17:59:59
W6 4124,Atterraggio,23:35,23:35,BELGRADE,Estero/Italia,Operativo,2026-08-27 17:59:59
FR 2285,Atterraggio,05:45,05:45,NAPOLI,Estero/Italia,Operativo,2026-08-27 17:59:59
FR 2697,Atterraggio,05:45,05:45,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 17:59:59
