callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:19:04,RWY 28,Atterraggio,Est -> Ovest,259,284.96,2.55,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:20:31,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:20:31,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.94,Malta,0
RYR13PK,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:21:05,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.84,Ireland,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:21:05,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.94,Malta,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:21:05,N/D,Transito,N/D,1775,358.78,26.22,Ireland,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:22:32,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.94,Malta,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:22:32,N/D,Transito,N/D,1234,330.19,20.48,Ireland,0
RYR15BQ,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-11 01:23:06,RWY 28,Atterraggio,Est -> Ovest,228,284.76,1.94,Malta,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:23:06,N/D,Sorvolo,N/D,1066,283.82,17.86,Ireland,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:24:33,RWY 28,Avvicinamento,Est -> Ovest,617,284.62,9.32,Ireland,0
RYR97ED,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-11 01:25:07,RWY 28,Avvicinamento,Est -> Ovest,480,284.91,6.66,Ireland,0
AIC4018,Cargo/Non Schedulato,False,India,Compagnia AIC,N/D,,2026-09-11 01:26:34,N/D,Sorvolo,N/D,12489,127.8,8.23,India,0
