callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp,volo,compagnia_aerea,stato_destinazione,minuti_ritardo,stato_ritardo
FR 2107,Decollo (D),BUDAPEST,08:00,08:00,OPERATO DA BUZZ,2026-09-10 00:41:54,FR 2107,Ryanair,Ungheria,0,In Orario
FR 1746,Decollo (D),KNOCK,08:00,08:00,Operativo,2026-09-10 00:41:54,FR 1746,Ryanair,Irlanda,0,In Orario
FR 5092,Decollo (D),LAMEZIA,08:05,08:05,Operativo,2026-09-10 00:41:54,FR 5092,Ryanair,Italia,0,In Orario
FR 847,Decollo (D),BARCELONA EL PRAT,08:05,08:05,Operativo,2026-09-10 00:41:54,FR 847,Ryanair,Spagna,0,In Orario
W6 4352,Decollo (D),SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-10 00:41:54,W6 4352,Wizz Air,Bulgaria,0,In Orario
FR 6451,Decollo (D),PALERMO,08:25,08:25,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 6451,Ryanair,Italia,0,In Orario
FR 3341,Decollo (D),VARSAVIA MODLIN,08:30,08:30,OPERATO DA BUZZ,2026-09-10 00:41:54,FR 3341,Ryanair,Polonia,0,In Orario
FR 1533,Decollo (D),VIENNA,08:30,08:30,OPERATO DA LAUDA EUROPE,2026-09-10 00:41:54,FR 1533,Ryanair,Austria,0,In Orario
W4 7691,Decollo (D),ORADEA,08:40,08:40,Operativo,2026-09-10 00:41:54,W4 7691,Wizz Air Malta,Romania,0,In Orario
W6 1432,Decollo (D),WARSAW,08:40,08:40,Operativo,2026-09-10 00:41:54,W6 1432,Wizz Air,Polonia,0,In Orario
FR 2858,Decollo (D),BRINDISI,09:00,09:00,Operativo,2026-09-10 00:41:54,FR 2858,Ryanair,Italia,0,In Orario
FR 2990,Decollo (D),COPENHAGEN,09:20,09:20,Operativo,2026-09-10 00:41:54,FR 2990,Ryanair,Danimarca,0,In Orario
FR 3673,Decollo (D),LONDON STANSTED,09:25,09:25,Operativo,2026-09-10 00:41:54,FR 3673,Ryanair,Regno Unito,0,In Orario
FR 3657,Decollo (D),EDINBURGH,09:25,09:25,Operativo,2026-09-10 00:41:54,FR 3657,Ryanair,Regno Unito,0,In Orario
FR 888,Decollo (D),KRAKOW,09:40,09:40,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 888,Ryanair,Polonia,0,In Orario
FR 461,Decollo (D),NEWCASTLE,09:40,09:40,OPERATO DA MALTA AIR,2026-09-10 00:41:54,FR 461,Ryanair,Regno Unito,0,In Orario
D8 3881,Decollo (D),BILLUND,09:40,09:40,Operativo,2026-09-10 00:41:54,D8 3881,Norwegian Air International,Danimarca,0,In Orario
FR 4714,Decollo (D),RIGA,09:50,09:50,Operativo,2026-09-10 00:41:54,FR 4714,Ryanair,Lettonia,0,In Orario
FR 4196,Decollo (D),CORFU,09:50,09:50,Operativo,2026-09-10 00:41:54,FR 4196,Ryanair,Grecia,0,In Orario
FR 3659,Decollo (D),BRUXELLES CHARLEROI,09:55,09:55,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-10 00:41:54,FR 3659,Ryanair,Belgio,0,In Orario
