timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-10 23:43:41,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:43:41,2026-09-10,RYR2UW,4ca8d4,RWY 28,Avvicinamento,Est -> Ovest,396,284.31,5.15,Ireland
2026-09-10 23:43:41,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:43:56,2026-09-10,RYR3KJ,4ca24e,RWY 28,Atterraggio,Est -> Ovest,220,285.63,1.85,Ireland
2026-09-10 23:43:56,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,358,285.05,4.49,Ireland
2026-09-10 23:43:56,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:45:42,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,220,284.8,1.87,Ireland
2026-09-10 23:45:42,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:45:42,2026-09-10,DHX752,8940b5,N/D,Transito,N/D,6294,82.05,22.69,Bahrain
2026-09-10 23:45:57,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,220,284.8,1.87,Ireland
2026-09-10 23:45:57,2026-09-10,RYR49HY,4ca703,RWY 28,Atterraggio,Est -> Ovest,228,285.1,1.96,Ireland
2026-09-10 23:45:57,2026-09-10,DHX752,8940b5,N/D,Transito,N/D,6507,81.93,20.66,Bahrain
2026-09-10 23:47:43,2026-09-10,AIC130,8017f7,N/D,Sorvolo,N/D,10668,130.66,16.28,India
2026-09-10 23:47:43,2026-09-10,RYR8479,48c12d,RWY 10,Decollo,Ovest -> Est,281,105.29,1.2,Poland
2026-09-10 23:47:43,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,220,284.8,1.87,Ireland
2026-09-10 23:47:43,2026-09-10,WZZ47RG,4d2020,N/D,Sorvolo,N/D,10972,39.54,14.8,Malta
2026-09-10 23:47:58,2026-09-10,AIC130,8017f7,N/D,Sorvolo,N/D,10668,130.83,16.13,India
2026-09-10 23:47:58,2026-09-10,RYR8479,48c12d,RWY 10,Decollo,Ovest -> Est,762,105.34,3.47,Poland
2026-09-10 23:47:58,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,220,284.8,1.87,Ireland
2026-09-10 23:47:58,2026-09-10,WZZ47RG,4d2020,N/D,Sorvolo,N/D,10972,39.63,11.66,Malta
2026-09-10 23:49:44,2026-09-10,RYR52TC,4ca4ec,N/D,Transito,N/D,4267,104.6,24.17,Ireland
2026-09-10 23:49:44,2026-09-10,RYR8479,48c12d,N/D,Avvicinamento,Rotta 220.6°,1424,220.57,9.04,Poland
2026-09-10 23:49:44,2026-09-10,RYR2UW,4ca8d4,RWY 28,Atterraggio,Est -> Ovest,220,284.8,1.87,Ireland
2026-09-10 23:49:44,2026-09-10,RYR5556Y,4d22ff,RWY 10,Decollo,Ovest -> Est,487,102.3,2.68,Malta
2026-09-10 23:49:44,2026-09-10,WZZ47RG,4d2020,N/D,Transito,N/D,10957,39.84,20.12,Malta
2026-09-10 23:49:59,2026-09-10,RYR52TC,4ca4ec,N/D,Transito,N/D,4122,104.88,20.36,Ireland
2026-09-10 23:49:59,2026-09-10,RYR8479,48c12d,N/D,Sorvolo,N/D,1973,165.36,11.72,Poland
2026-09-10 23:49:59,2026-09-10,RYR5556Y,4d22ff,RWY 10,Avvicinamento,Ovest -> Est,739,103.81,5.09,Malta
2026-09-10 23:51:45,2026-09-10,RYR52TC,4ca4ec,RWY 10,Avvicinamento,Ovest -> Est,3611,117.84,7.12,Ireland
2026-09-10 23:51:45,2026-09-10,RYR5RK,4ca75f,RWY 10,Decollo,Ovest -> Est,632,105.47,3.7,Ireland
2026-09-10 23:51:45,2026-09-10,RYR556Y,4d22ff,N/D,Avvicinamento,Rotta 226.0°,1577,225.98,9.6,Malta
2026-09-10 23:52:00,2026-09-10,RYR52TC,4ca4ec,N/D,Avvicinamento,Rotta 121.0°,3520,121.0,5.03,Ireland
2026-09-10 23:52:00,2026-09-10,EXS15Q,408262,N/D,Transito,N/D,10980,335.86,26.43,United Kingdom
2026-09-10 23:52:00,2026-09-10,RYR5RK,4ca75f,RWY 10,Avvicinamento,Ovest -> Est,739,106.61,5.19,Ireland
2026-09-10 23:52:00,2026-09-10,RYR556Y,4d22ff,N/D,Sorvolo,N/D,1661,225.6,10.92,Malta
2026-09-10 23:53:46,2026-09-10,ABY696,896745,RWY 10,Decollo,Ovest -> Est,769,104.4,4.91,United Arab Emirates
2026-09-10 23:53:46,2026-09-10,RYR52TC,4ca4ec,N/D,Sorvolo,N/D,3352,156.24,10.13,Ireland
2026-09-10 23:53:46,2026-09-10,RYR5RK,4ca75f,N/D,Sorvolo,N/D,2141,142.84,13.24,Ireland
2026-09-10 23:53:46,2026-09-10,RYR5YD,4cae93,N/D,Sorvolo,N/D,10469,316.56,5.63,Ireland
2026-09-10 23:54:01,2026-09-10,ABY696,896745,N/D,Avvicinamento,Rotta 121.7°,861,121.68,6.06,United Arab Emirates
2026-09-10 23:54:01,2026-09-10,RYR52TC,4ca4ec,N/D,Sorvolo,N/D,3352,156.24,11.59,Ireland
2026-09-10 23:54:01,2026-09-10,RYR5RK,4ca75f,N/D,Sorvolo,N/D,2308,120.19,14.38,Ireland
2026-09-10 23:54:01,2026-09-10,RYR5YD,4cae93,N/D,Sorvolo,N/D,10561,316.65,3.0,Ireland
2026-09-10 23:55:47,2026-09-10,ABY696,896745,N/D,Sorvolo,N/D,2484,232.68,11.37,United Arab Emirates
2026-09-10 23:55:47,2026-09-10,RYR5KU,48c1a6,N/D,Avvicinamento,Rotta 122.2°,731,122.21,5.89,Poland
2026-09-10 23:55:47,2026-09-10,RYR5RK,4ca75f,N/D,Transito,N/D,3208,102.06,25.21,Ireland
2026-09-10 23:55:47,2026-09-10,EWG6SQ,4d253b,N/D,Sorvolo,N/D,10972,36.21,16.45,Malta
2026-09-10 23:55:47,2026-09-10,RYR5YD,4cae93,N/D,Transito,N/D,10972,316.31,21.51,Ireland
2026-09-10 23:56:02,2026-09-10,ABY696,896745,N/D,Sorvolo,N/D,2636,232.67,12.65,United Arab Emirates
2026-09-10 23:56:02,2026-09-10,RYR5KU,48c1a6,RWY 16,Avvicinamento,Nord -> Sud,830,163.95,7.29,Poland
2026-09-10 23:56:02,2026-09-10,RYR5RK,4ca75f,N/D,Transito,N/D,3345,99.21,27.4,Ireland
2026-09-10 23:56:02,2026-09-10,EWG6SQ,4d253b,N/D,Sorvolo,N/D,10972,36.31,17.04,Malta
2026-09-10 23:56:02,2026-09-10,RYR5YD,4cae93,N/D,Transito,N/D,10972,316.31,25.0,Ireland
2026-09-10 23:57:48,2026-09-10,WZZ6579,471d5c,RWY 10,Decollo,Ovest -> Est,419,105.58,2.24,Hungary
2026-09-10 23:57:48,2026-09-10,RYR5KU,48c1a6,N/D,Sorvolo,N/D,2247,105.19,14.29,Poland
2026-09-10 23:58:03,2026-09-10,WZZ6579,471d5c,RWY 10,Decollo,Ovest -> Est,647,105.4,3.64,Hungary
